,juror,country,fight,role,score,participant,problem,round,fightName
0,Aleksandr Svetlichnyi,France,1,Rep,5.0,Amazigh Ouzriat,3. Dirty racing,1,Selective Fight 1| Room PF Room 4| Round 1
139,Claire Marrache,Ukraine,2,Opp,5.0,Oleh Ivashtenko,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 6| Round 1
140,David Collomb,Sweden,2,Rep,6.0,Rebecka Mårtensson,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 6| Round 1
141,David Collomb,Ukraine,2,Opp,8.0,Oleh Ivashtenko,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 6| Round 1
142,Nikolay Lysenko,Sweden,2,Rep,7.0,Rebecka Mårtensson,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 6| Round 1
143,Nikolay Lysenko,Ukraine,2,Opp,7.0,Oleh Ivashtenko,15. Burning bottle cutter,1,Selective Fight 2| Room PF Room 6| Round 1
144,Bohdan Bidenko,Colombia,2,Rep,6.0,Jose Betancourt,13. Branching light,1,Selective Fight 2| Room PF Room 2| Round 1
145,Bohdan Bidenko,Germany,2,Opp,7.0,Ivan Kokhanovskyi,13. Branching light,1,Selective Fight 2| Room PF Room 2| Round 1
146,Stanislav Vinogradov,Colombia,2,Rep,7.0,Jose Betancourt,13. Branching light,1,Selective Fight 2| Room PF Room 2| Round 1
147,Stanislav Vinogradov,Germany,2,Opp,8.0,Ivan Kokhanovskyi,13. Branching light,1,Selective Fight 2| Room PF Room 2| Round 1
148,Vitalii Lisovskyi,Colombia,2,Rep,7.0,Jose Betancourt,13. Branching light,1,Selective Fight 2| Room PF Room 2| Round 1
149,Vitalii Lisovskyi,Germany,2,Opp,8.0,Ivan Kokhanovskyi,13. Branching light,1,Selective Fight 2| Room PF Room 2| Round 1
150,Åke Andersson,Colombia,2,Rep,4.0,Jose Betancourt,13. Branching light,1,Selective Fight 2| Room PF Room 2| Round 1
151,Åke Andersson,Germany,2,Opp,5.0,Ivan Kokhanovskyi,13. Branching light,1,Selective Fight 2| Room PF Room 2| Round 1
152,Amaury Barral,USA,2,Rep,5.0,Miguel Ceja,17. Quantum-droplet analogy,1,Selective Fight 2| Room PF Room 4| Round 1
153,Amaury Barral,Russia,2,Opp,9.0,Ivan Polonik,17. Quantum-droplet analogy,1,Selective Fight 2| Room PF Room 4| Round 1
